x	f1	f2	f3	f4	f5
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	-0.008844	-0.004719	0.002940	0.002293	-0.021819
0.020000	-0.027903	-0.008097	0.001084	0.000030	-0.042776
0.030000	-0.055110	-0.009919	-0.005709	-0.005165	-0.061643
0.040000	-0.088576	-0.009725	-0.017330	-0.011203	-0.077390
0.050000	-0.126661	-0.006891	-0.033334	-0.015741	-0.089290
0.060000	-0.167953	-0.000752	-0.052904	-0.016442	-0.096980
0.070000	-0.211152	0.009247	-0.074867	-0.011236	-0.100468
0.080000	-0.254910	0.023392	-0.097759	0.001436	-0.100083
0.090000	-0.297663	0.041547	-0.119926	0.022416	-0.096382
0.100000	-0.337490	0.063044	-0.139657	0.051695	-0.090017
0.110000	-0.372072	0.086627	-0.155316	0.088353	-0.081586
0.120000	-0.398732	0.110468	-0.165463	0.130593	-0.071502
0.130000	-0.414611	0.132242	-0.168939	0.175857	-0.059883
0.140000	-0.416929	0.149280	-0.164913	0.221030	-0.046507
0.150000	-0.403319	0.158755	-0.152878	0.262713	-0.030824
0.160000	-0.372185	0.157909	-0.132608	0.297538	-0.012045
0.170000	-0.323011	0.144275	-0.104087	0.322514	0.010719
0.180000	-0.256582	0.115890	-0.067432	0.335358	0.038260
0.190000	-0.175072	0.071469	-0.022832	0.334785	0.071072
0.200000	-0.081970	0.010540	0.029485	0.320717	0.109168
0.210000	0.018148	-0.066488	0.089245	0.294391	0.151938
0.220000	0.119975	-0.158300	0.156086	0.258324	0.198103
0.230000	0.217899	-0.262721	0.229494	0.216147	0.245760
0.240000	0.306459	-0.376806	0.308743	0.172313	0.292532
0.250000	0.380751	-0.496993	0.392852	0.131698	0.335815
0.260000	0.436754	-0.619283	0.480585	0.099149	0.373078
0.270000	0.471532	-0.739454	0.570496	0.079029	0.402182
0.280000	0.483327	-0.853295	0.661030	0.074813	0.421667
0.290000	0.471533	-0.956829	0.750635	0.088795	0.430947
0.300000	0.436615	-1.046510	0.837895	0.121932	0.430387
0.310000	0.379973	-1.119389	0.921633	0.173837	0.421242
0.320000	0.303812	-1.173214	1.000967	0.242921	0.405455
0.330000	0.211031	-1.206482	1.075315	0.326643	0.385356
0.340000	0.105119	-1.218419	1.144328	0.421826	0.363316
0.350000	-0.009929	-1.208929	1.207772	0.524977	0.341400
0.360000	-0.129713	-1.178499	1.265377	0.632571	0.321108
0.370000	-0.249567	-1.128102	1.316681	0.741251	0.303226
0.380000	-0.364753	-1.059104	1.360889	0.847926	0.287822
0.390000	-0.470721	-0.973189	1.396783	0.949772	0.274375
0.400000	-0.563426	-0.872296	1.422700	1.044147	0.262000
